"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16638","TC15 - Cleanup: Delete Test Projects and Customer @regression","Regression","Thu Feb 05 19:53:26 UTC 2026","failed","Thu Feb 05 19:53:43 UTC 2026","Time_ProjectInfo_Test","Time/Time_ProjectInfo_Test.spec.ts","",""
"","19590","TC07 - Verify Employee Trackers Page Display @regression","Regression","Thu Feb 05 19:54:28 UTC 2026","passed","Thu Feb 05 19:54:47 UTC 2026","Performance_MyReviews_Test","Performance/Performance_MyReviews_Test.spec.ts","",""
"","60145","TC04 - Verify Event: Handle Duplication @regression","Regression","Thu Feb 05 19:53:05 UTC 2026","broken","Thu Feb 05 19:54:05 UTC 2026","Claim_Configuration_Test","Claim/Claim_Configuration_Test.spec.ts","",""
"","36352","TC01 - Verify Event: Validate Empty Field @regression","Regression","Thu Feb 05 19:51:32 UTC 2026","passed","Thu Feb 05 19:52:08 UTC 2026","Claim_Configuration_Test","Claim/Claim_Configuration_Test.spec.ts","",""
"","17663","TC05 - Verify Holiday Validation Error @regression","Regression","Thu Feb 05 19:49:46 UTC 2026","failed","Thu Feb 05 19:50:04 UTC 2026","Leave_Configuration_Test","Leave/Leave_Configuration_Test.spec.ts","",""
"","60136","TC01 - Verify Manage Reviews Add Reviews Life Cycle @regression","Regression","Thu Feb 05 19:50:31 UTC 2026","broken","Thu Feb 05 19:51:31 UTC 2026","Performance_MyReviews_Test","Performance/Performance_MyReviews_Test.spec.ts","",""
"","17007","TC04 - Verify Manage Reviews Reset Filters @regression","Regression","Thu Feb 05 19:53:18 UTC 2026","failed","Thu Feb 05 19:53:35 UTC 2026","Performance_MyReviews_Test","Performance/Performance_MyReviews_Test.spec.ts","",""
"","24375","TC06 - Verify Employee Claims Filter by Date Range @regression","Regression","Thu Feb 05 19:53:40 UTC 2026","passed","Thu Feb 05 19:54:04 UTC 2026","Claim_EmployeeClaims_Test","Claim/Claim_EmployeeClaims_Test.spec.ts","",""
"","17987","TC03 - Verify Apply Leave with Half Day @regression","Regression","Thu Feb 05 19:49:28 UTC 2026","failed","Thu Feb 05 19:49:46 UTC 2026","Leave_ApplyLeave_Test","Leave/Leave_ApplyLeave_Test.spec.ts","",""
"","14889","TC04 - Verify Dashboard Presence @regression","Regression","Thu Feb 05 19:53:14 UTC 2026","failed","Thu Feb 05 19:53:29 UTC 2026","Dashboard_UserActions_Test","Dashboard/Dashboard_UserActions_Test.spec.ts","",""
"","36231","TC02 - Assign Leave Insufficient Balance Warning @regression","Regression","Thu Feb 05 19:48:32 UTC 2026","passed","Thu Feb 05 19:49:08 UTC 2026","Leave_Operations_Test","Leave/Leave_Operations_Test.spec.ts","",""
"","20007","TC02 - Verify Reset Search Filters @regression","Regression","Thu Feb 05 19:50:49 UTC 2026","failed","Thu Feb 05 19:51:09 UTC 2026","Recruitment_Search_And_Data_Test","Recruitment/Recruitment_Search_And_Data_Test.spec.ts","",""
"","18007","TC10 - Verify OAuth Client Lifecycle: Create, Verify, Delete @regression","Regression","Thu Feb 05 19:50:57 UTC 2026","failed","Thu Feb 05 19:51:15 UTC 2026","Admin_Configuration_Test","Admin/Admin_Configuration_Test.spec.ts","",""
"","26476","TC02 - Verify Add Entitlement Validation @regression","Regression","Thu Feb 05 19:47:48 UTC 2026","passed","Thu Feb 05 19:48:15 UTC 2026","Leave_Entitlements_Test","Leave/Leave_Entitlements_Test.spec.ts","",""
"","35066","TC04 - Verify Add Employee Validation @regression","Regression","Thu Feb 05 19:47:52 UTC 2026","passed","Thu Feb 05 19:48:27 UTC 2026","PIM_Employee_Test","PIM/PIM_Employee_Test.spec.ts","",""
"","9551","TC16 - Verify My Claims Reset Filters @regression","Regression","Thu Feb 05 19:57:01 UTC 2026","passed","Thu Feb 05 19:57:11 UTC 2026","Claim_EmployeeClaims_Test","Claim/Claim_EmployeeClaims_Test.spec.ts","",""
"","42040","TC04 - Verify Nationality Duplicate Validation @regression","Regression","Thu Feb 05 19:48:49 UTC 2026","passed","Thu Feb 05 19:49:31 UTC 2026","Admin_Nationalities_Test","Admin/Admin_Nationalities_Test.spec.ts","",""
"","11705","TC10 - Verify Manage Reviews Search by Reviewer @regression","Regression","Thu Feb 05 19:55:16 UTC 2026","passed","Thu Feb 05 19:55:28 UTC 2026","Performance_MyReviews_Test","Performance/Performance_MyReviews_Test.spec.ts","",""
"","17601","TC01 - Verify Personal Details View @regression","Regression","Thu Feb 05 19:47:57 UTC 2026","failed","Thu Feb 05 19:48:14 UTC 2026","PIM_EmployeeDetails_Test","PIM/PIM_EmployeeDetails_Test.spec.ts","",""
"","46473","TC05 - Verify Data Import Validation (No File Selected) @regression","Regression","Thu Feb 05 19:49:56 UTC 2026","failed","Thu Feb 05 19:50:43 UTC 2026","PIM_Configuration_Test","PIM/PIM_Configuration_Test.spec.ts","",""
"","16035","TC06 - Verify Education Level Lifecycle: Create, Edit, Delete @regression","Regression","Thu Feb 05 19:50:18 UTC 2026","failed","Thu Feb 05 19:50:34 UTC 2026","Admin_Qualifications_Test","Admin/Admin_Qualifications_Test.spec.ts","",""
"","17988","TC07 - Verify Organization Unit Lifecycle: Enable Edit, Create, Verify, Delete @regression","Regression","Thu Feb 05 19:50:49 UTC 2026","failed","Thu Feb 05 19:51:07 UTC 2026","Admin_Organization_Test","Admin/Admin_Organization_Test.spec.ts","",""
"","16150","TC02 - Verify Leave List Filter by Date @regression","Regression","Thu Feb 05 19:48:29 UTC 2026","failed","Thu Feb 05 19:48:45 UTC 2026","Leave_LeaveList_Test","Leave/Leave_LeaveList_Test.spec.ts","",""
"","55229","TC04 - Verify Emergency Contact Add @regression","Regression","Thu Feb 05 19:49:31 UTC 2026","failed","Thu Feb 05 19:50:26 UTC 2026","PIM_EmployeeDetails_Test","PIM/PIM_EmployeeDetails_Test.spec.ts","",""
"","29391","TC10 - Verify Employee Claims Pay Action @regression","Regression","Thu Feb 05 19:55:19 UTC 2026","failed","Thu Feb 05 19:55:48 UTC 2026","Claim_EmployeeClaims_Test","Claim/Claim_EmployeeClaims_Test.spec.ts","",""
"","40119","TC05 - Verify validation error for empty Pay Grade Name @regression","Regression","Thu Feb 05 19:49:19 UTC 2026","passed","Thu Feb 05 19:49:59 UTC 2026","Admin_Job_Test","Admin/Admin_Job_Test.spec.ts","",""
"","12293","TC01 - Verify Job Title Lifecycle: Create, Verify, Delete @foundation","Foundation","Thu Feb 05 19:43:51 UTC 2026","passed","Thu Feb 05 19:44:04 UTC 2026","Admin_Job_Test","Admin/Admin_Job_Test.spec.ts","",""
